,Date / Time,Incident Number,Location,Nature,Incident ORI
37,12/31/2023 3:28,2023-00087894,2420 CLASSEN BLVD,Noise Complaint,OK0140200
38,12/31/2023 3:35,2023-00019414,970 N STATE DR,Sick Person,14005
39,12/31/2023 3:35,2023-00026068,970 N STATE DR,Sick Person,EMSSTAT
40,12/31/2023 3:45,2023-00019415,1903 WESTBROOKE TER,Breathing Problems,14005
41,12/31/2023 3:45,2023-00026069,1903 WESTBROOKE TER,Breathing Problems,EMSSTAT
42,12/31/2023 3:52,2023-00087895,2021 INDUSTRIAL BLVD,Alarm,OK0140200
43,12/31/2023 3:57,2023-00087897,1231 36TH AVE NW,Item Assignment,OK0140200
44,12/31/2023 4:02,2023-00087896,2900 W ROBINSON ST,Harassment / Threats Report,OK0140200
45,12/31/2023 4:06,2023-00026070,1000 N LEE OKC,Transfer/Interfacility,EMSSTAT
46,12/31/2023 4:40,2023-00019416,401 12TH AVE SE,Hemorrhage/Lacerations,14005
47,12/31/2023 4:40,2023-00026071,401 12TH AVE SE,Hemorrhage/Lacerations,EMSSTAT
48,12/31/2023 5:02,2023-00087898,1616 ALAMEDA ST,Disturbance/Domestic,OK0140200
49,12/31/2023 5:10,2023-00087899,1226 CLASSEN BLVD,Item Assignment,OK0140200
50,12/31/2023 5:10,2023-00026072,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
51,12/31/2023 5:29,2023-00087900,2420 CLASSEN BLVD,Noise Complaint,OK0140200
52,12/31/2023 5:32,2023-00026073,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
53,12/31/2023 6:07,2023-00019417,1408 CHAMBERS ST,Sick Person,14005
54,12/31/2023 6:07,2023-00026074,1408 CHAMBERS ST,Sick Person,EMSSTAT
55,12/31/2023 6:09,2023-00087902,2800 CHAUTAUQUA AVE,Fraud,OK0140200
56,12/31/2023 6:32,2023-00026077,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
57,12/31/2023 6:40,2023-00019418,420 SUNRISE ST,Sick Person,14005
58,12/31/2023 6:40,2023-00026075,420 SUNRISE ST,Sick Person,EMSSTAT
59,12/31/2023 6:42,2023-00087901,323 W BOYD ST,Alarm,OK0140200
60,12/31/2023 7:08,2023-00087903,1407 N PORTER AVE,Check Area,OK0140200
61,12/31/2023 7:11,2023-00087904,220 SKYLARK CT,Extra Patrol,OK0140200
62,12/31/2023 7:29,2023-00087905,268 24TH AVE NW,Check Area,OK0140200
63,12/31/2023 7:37,2023-00019419,1412 24TH AVE SE,Breathing Problems,14005
64,12/31/2023 7:37,2023-00026076,1412 24TH AVE SE,Breathing Problems,EMSSTAT
65,12/31/2023 7:39,2023-00087906,2140 24TH AVE NW,Larceny,OK0140200
66,12/31/2023 7:41,2023-00087907,901 N PORTER AVE,Escort/Transport,OK0140200
67,12/31/2023 7:51,2023-00087908,2100 24TH AVE NW,Suspicious,OK0140200
68,12/31/2023 8:13,2023-00087909,1016 N FLOOD AVE,Contact a Subject,OK0140200
69,12/31/2023 8:13,2023-00019420,922 SCHULZE DR,Chest Pain,14005
70,12/31/2023 8:13,2023-00026078,922 SCHULZE DR,Chest Pain,EMSSTAT
71,12/31/2023 8:20,2023-00087910,917 24TH AVE SW,Harassment / Threats Report,OK0140200
72,12/31/2023 8:28,2023-00087911,1210 W ROBINSON ST,Foot Patrol,OK0140200
73,12/31/2023 8:35,2023-00087912,1500 N FLOOD AVE,Traffic Stop,OK0140200
74,12/31/2023 8:36,2023-00087913,222 MCCULLOUGH ST,Alarm,OK0140200
75,12/31/2023 8:43,2023-00087917,916 E SYMMES ST,Barking Dog,OK0140200
76,12/31/2023 8:43,2023-00087914,W ROBINSON ST / NEWTON DR,Traffic Stop,OK0140200
77,12/31/2023 8:46,2023-00087915,4599 HERITAGE PLACE DR,Disturbance/Domestic,OK0140200
78,12/31/2023 8:59,2023-00087916,222 MCCULLOUGH ST,Alarm,OK0140200
79,12/31/2023 9:06,2023-00019421,1920 12TH AVE NE,Eye Problems/Injuries,14005
80,12/31/2023 9:06,2023-00026079,1920 12TH AVE NE,Eye Problems/Injuries,EMSSTAT
81,12/31/2023 9:39,2023-00019422,600 24TH AVE SW,Sick Person,14005
82,12/31/2023 9:39,2023-00026080,600 24TH AVE SW,Sick Person,EMSSTAT
83,12/31/2023 9:42,2023-00019424,805 E ROBINSON ST,Chest Pain,14005
84,12/31/2023 9:42,2023-00026083,805 E ROBINSON ST,Chest Pain,EMSSTAT
85,12/31/2023 9:42,2023-00087918,805 E ROBINSON ST,Disturbance/Domestic,OK0140200
86,12/31/2023 9:44,2023-00087919,1834 W MAIN ST,Traffic Stop,OK0140200
87,12/31/2023 9:53,2023-00087920,1108 ARKANSAS ST,Found Item,OK0140200
88,12/31/2023 9:56,2023-00026082,4554 W MAIN ST,Sick Person,EMSSTAT
89,12/31/2023 9:56,2023-00019423,1720 W LINDSEY ST,Sick Person,14005
90,12/31/2023 9:56,2023-00026081,1720 W LINDSEY ST,Sick Person,EMSSTAT
91,12/31/2023 10:05,2023-00087921,859 24TH AVE SW,Traffic Stop,OK0140200
92,12/31/2023 10:14,2023-00087922,2504 W BROOKS ST,Disturbance/Domestic,OK0140200
93,12/31/2023 10:40,2023-00087923,1262 24TH AVE NW,Traffic Stop,OK0140200
94,12/31/2023 10:45,2023-00087925,3901 JOURNEY PKWY,Alarm,OK0140200
95,12/31/2023 10:46,2023-00087924,1053 24TH AVE NW,Traffic Stop,OK0140200
96,12/31/2023 11:03,2023-00026084,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
97,12/31/2023 11:09,2023-00019425,3337 HEATHER GLEN TER,Abdominal Pains/Problems,14005
98,12/31/2023 11:09,2023-00026085,3337 HEATHER GLEN TER,Abdominal Pains/Problems,EMSSTAT
99,12/31/2023 11:11,2023-00026086,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
100,12/31/2023 11:13,2023-00026087,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
101,12/31/2023 11:16,2023-00087927,2221 W LINDSEY ST,Alarm,OK0140200
102,12/31/2023 11:20,2023-00019426,124 HAL MULDROW DR,Assault EMS Needed,14005
103,12/31/2023 11:20,2023-00026088,124 HAL MULDROW DR,Assault EMS Needed,EMSSTAT
104,12/31/2023 11:20,2023-00087926,124 HAL MULDROW DR,Disturbance/Domestic,OK0140200
105,12/31/2023 11:29,2023-00019427,3017 CRUDEN DR,Cardiac Respritory Arrest,14005
106,12/31/2023 11:29,2023-00026089,3017 CRUDEN DR,Cardiac Respritory Arrest,EMSSTAT
107,12/31/2023 11:29,2023-00087928,3017 CRUDEN DR,Body Reported,OK0140200
108,12/31/2023 11:34,2023-00087929,1608 ROLLING STONE DR,Animal Vicious,OK0140200
109,12/31/2023 11:39,2023-00087931,555 S UNIVERSITY BLVD,Trespassing,OK0140200
110,12/31/2023 11:40,2023-00087930,1701 CAMELOT DR,Disturbance/Domestic,OK0140200
111,12/31/2023 11:48,2023-00087934,301 NORMAN CENTER CT,Larceny,OK0140200
112,12/31/2023 11:51,2023-00087932,202 WOODCREST DR,Welfare Check,OK0140200
113,12/31/2023 11:58,2023-00087947,4104 KNIGHTS BRIDGE ST,Fraud,OK0140200
114,12/31/2023 12:09,2023-00087933,1038 N FLOOD AVE,Burglary,OK0140200
115,12/31/2023 12:16,2023-00026090,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
116,12/31/2023 12:21,2023-00087935,1219 W ROCK CREEK RD,Traffic Stop,OK0140200
117,12/31/2023 12:28,2023-00019428,511 12TH AVE NE,Falls,14005
118,12/31/2023 12:28,2023-00026091,511 12TH AVE NE,Falls,EMSSTAT
119,12/31/2023 12:28,2023-00087937,511 12TH AVE NE,Welfare Check,OK0140200
120,12/31/2023 12:29,2023-00087936,2170 N FLOOD AVE,Traffic Stop,OK0140200
121,12/31/2023 12:31,2023-00026092,2900 JENKINS AVE,Stand By EMS,EMSSTAT
122,12/31/2023 12:31,2023-00087938,1402 REBECCA LN,Supplement Report,OK0140200
123,12/31/2023 12:35,2023-00026093,1776 E ROBINSON ST,Abdominal Pains/Problems,EMSSTAT
124,12/31/2023 12:40,2023-00026094,2900 JENKINS AVE,Stand By EMS,EMSSTAT
125,12/31/2023 12:40,2023-00087939,1260 W ROBINSON ST,Traffic Stop,OK0140200
126,12/31/2023 12:44,2023-00087940,1742 36TH AVE NW,Traffic Stop,OK0140200
127,12/31/2023 12:48,2023-00087942,124 HAL MULDROW DR,Assault,OK0140200
128,12/31/2023 12:50,2023-00087941,CHAUTAUQUA AVE / W IMHOFF RD,COP Relationships,OK0140200
129,12/31/2023 13:02,2023-00087944,555 W MAIN ST,Trespassing,OK0140200
130,12/31/2023 13:02,2023-00087943,NORTHCLIFF AVE / E ROBINSON ST,Traffic Stop,OK0140200
131,12/31/2023 13:09,2023-00087945,803 BILOXI DR,Disturbance/Domestic,OK0140200
132,12/31/2023 13:16,2023-00087946,2166 W BROOKS ST,Disturbance/Domestic,OK0140200
133,12/31/2023 13:20,2023-00019429,601 12TH AVE NE,Unconscious/Fainting,14005
134,12/31/2023 13:20,2023-00026095,601 12TH AVE NE,Unconscious/Fainting,EMSSTAT
135,12/31/2023 13:25,2023-00019430,2818 CLASSEN BLVD,Heart Problems/AICD,14005
136,12/31/2023 13:25,2023-00026096,2818 CLASSEN BLVD,Heart Problems/AICD,EMSSTAT
137,12/31/2023 13:29,2023-00087948,557 CONGRESS ST,Suspicious,OK0140200
138,12/31/2023 13:34,2023-00087949,624 REED AVE,Contact a Subject,OK0140200
139,12/31/2023 13:35,2023-00087950,3603 CHATHAM CT,Disturbance/Domestic,OK0140200
140,12/31/2023 13:39,2023-00087951,RANCHO DR / ALAMEDA ST,Traffic Stop,OK0140200
141,12/31/2023 13:40,2023-00087952,2034 OAKHURST AVE,Traffic Stop,OK0140200
142,12/31/2023 13:40,2023-00026097,1544 OK-9,Heart Problems/AICD,EMSSTAT
143,12/31/2023 13:45,2023-00087953,117 E ACRES ST,Traffic Stop,OK0140200
144,12/31/2023 13:46,2023-00087954,117 E ACRES ST,Contact a Subject,OK0140200
145,12/31/2023 13:51,2023-00087956,320 STONEHAVEN DR,Open Door/Premises Check,OK0140200
146,12/31/2023 13:59,2023-00019431,3505 BRIGHT ST,Public Assist,14005
147,12/31/2023 13:59,2023-00087955,101 BEAL ST,Traffic Stop,OK0140200
148,12/31/2023 14:05,2023-00087957,950 E ROBINSON ST,Traffic Stop,OK0140200
149,12/31/2023 14:06,2023-00087961,CHAUTAUQUA AVE / W STATE HWY 9 HWY,Suspicious,OK0140200
150,12/31/2023 14:08,2023-00087959,1812 ALAMEDA ST,Supplement Report,OK0140200
151,12/31/2023 14:08,2023-00087958,1081 N PONCA AVE,Contact a Subject,OK0140200
152,12/31/2023 14:12,2023-00019432,228 E HAYES ST,Public Assist,14005
153,12/31/2023 14:16,2023-00026098,600 24TH AVE SW,Falls,EMSSTAT
154,12/31/2023 14:20,2023-00087960,3651 W ROBINSON ST,Traffic Stop,OK0140200
155,12/31/2023 14:20,2023-00087962,218 E MAIN ST,Larceny,OK0140200
156,12/31/2023 14:25,2023-00087970,320 PAXTON CT,Civil Standby,OK0140200
157,12/31/2023 14:25,2023-00087963,805 E ROBINSON ST,Disturbance/Domestic,OK0140200
158,12/31/2023 14:26,2023-00087964,E EUFAULA ST / S PORTER AVE,Traffic Stop,OK0140200
159,12/31/2023 14:28,2023-00087971,1016 E LINDSEY ST,Larceny,OK0140200
160,12/31/2023 14:29,2023-00087965,1826 W ROBINSON ST,Motorist Assist,OK0140200
161,12/31/2023 14:30,2023-00087966,1238 12TH AVE SE,Traffic Stop,OK0140200
162,12/31/2023 14:32,2023-00087967,1111 OAK TREE AVE,Welfare Check,OK0140200
163,12/31/2023 14:41,2023-00087968,1302 CLASSEN BLVD,Traffic Stop,OK0140200
164,12/31/2023 14:44,2023-00087969,3426 CLASSEN BLVD,Traffic Stop,OK0140200
165,12/31/2023 14:45,2023-00087972,2118 24TH AVE SW,Larceny,OK0140200
166,12/31/2023 14:55,2023-00087975,2021 INDUSTRIAL BLVD,Alarm,OK0140200
167,12/31/2023 14:55,2023-00087973,120 12TH AVE NE,Motorist Assist,OK0140200
168,12/31/2023 14:57,2023-00087974,404 SUMMIT WAY,MVA Non Injury,OK0140200
169,12/31/2023 15:03,2023-00087976,110 BOULEVARD DU LAC,Alarm,OK0140200
170,12/31/2023 15:06,2023-00087977,845 E STATE HWY 9 HWY,Traffic Stop,OK0140200
171,12/31/2023 15:07,2023-00087979,566 BUCHANAN AVE,Welfare Check,OK0140200
172,12/31/2023 15:08,2023-00087978,1528 ALAMEDA ST,Traffic Stop,OK0140200
173,12/31/2023 15:09,2023-00087980,1209 OAKHURST AVE,Suspicious,OK0140200
174,12/31/2023 15:10,2023-00087991,3620 VINTAGE CREEK DR,Harassment / Threats Report,OK0140200
175,12/31/2023 15:20,2023-00087981,4116 BRIARCREST DR,Suspicious,OK0140200
176,12/31/2023 15:22,2023-00087982,1404 FOREST GLENN CIR,Found Item,OK0140200
177,12/31/2023 15:22,2023-00087989,2118 24TH AVE SW,Supplement Report,OK0140200
178,12/31/2023 15:24,2023-00026099,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
179,12/31/2023 15:25,2023-00087983,CHAUTAUQUA AVE / W IMHOFF RD,COP Relationships,OK0140200
180,12/31/2023 15:27,2023-00087984,S UNIVERSITY BLVD / W APACHE ST,Suspicious,OK0140200
181,12/31/2023 15:28,2023-00087985,831 SONOMA PARK DR,Contact a Subject,OK0140200
182,12/31/2023 15:29,2023-00087987,151 12TH AVE SE,Trespassing,OK0140200
183,12/31/2023 15:30,2023-00087986,347 12TH AVE NE,Traffic Stop,OK0140200
184,12/31/2023 15:35,2023-00019433,2212 NASHVILLE DR,Fire Commercial,14005
185,12/31/2023 15:35,2023-00026100,2212 NASHVILLE DR,Fire Residential,EMSSTAT
186,12/31/2023 15:35,2023-00087988,2212 NASHVILLE DR,Assist Police,OK0140200
187,12/31/2023 15:42,2023-00087990,3201 S BERRY RD,Alarm,OK0140200
188,12/31/2023 15:45,2023-00019434,303 WOODCREST DR,Sick Person,14005
189,12/31/2023 15:45,2023-00026101,303 WOODCREST DR,Sick Person,EMSSTAT
190,12/31/2023 15:49,2023-00087992,201 W GRAY ST,Suspicious,OK0140200
191,12/31/2023 15:50,2023-00087996,17717 ALAMEDA ST,Burglary,OK0140200
192,12/31/2023 15:52,2023-00087993,3306 RIDGECREST CIR,Contact a Subject,OK0140200
193,12/31/2023 15:52,2023-00087994,2800 CHAUTAUQUA AVE,Found Item,OK0140200
194,12/31/2023 15:56,2023-00087995,3620 VINTAGE CREEK DR,Harassment / Threats Report,OK0140200
195,12/31/2023 16:03,2023-00019435,19341 8 A ST,Sick Person,14005
196,12/31/2023 16:03,2023-00026102,19341 8 A ST,Sick Person,EMSSTAT
197,12/31/2023 16:20,2023-00087997,CLASSEN BLVD / TELLURIDE LN,Welfare Check,OK0140200
198,12/31/2023 16:21,2023-00087998,601 12TH AVE NE,Trespassing,OK0140200
199,12/31/2023 16:36,2023-00019436,2516 CARIBOU CT,Fire Carbon Monoxide Alarm,14005
200,12/31/2023 16:41,2023-00087999,1100 OAK TREE AVE,Suspicious,OK0140200
201,12/31/2023 16:42,2023-00088002,201 W DAWS ST,Harassment / Threats Report,OK0140200
202,12/31/2023 16:43,2023-00088001,W LINDSEY ST / 24TH AVE SW,Animal Injured,OK0140200
203,12/31/2023 16:46,2023-00019437,401 12TH AVE SE,Fire Controlled Burn,14005
204,12/31/2023 16:46,2023-00088000,401 12TH AVE SE,Suspicious,OK0140200
205,12/31/2023 16:58,2023-00019438,2803 24TH AVE NW,Sick Person,14005
206,12/31/2023 16:58,2023-00026103,2803 24TH AVE NW,Sick Person,EMSSTAT
207,12/31/2023 17:00,2023-00019439,1301 GLEN OAKS CT,Traumatic Injury,14005
208,12/31/2023 17:00,2023-00026104,1301 GLEN OAKS CT,Traumatic Injury,EMSSTAT
209,12/31/2023 17:01,2023-00088003,2109 W TECUMSEH RD,Traffic Stop,OK0140200
210,12/31/2023 17:03,2023-00088004,N FLOOD AVE / W ROBINSON ST,Traffic Stop,OK0140200
211,12/31/2023 17:11,2023-00019440,3110 HEALTHPLEX PKWY,Sick Person,14005
212,12/31/2023 17:11,2023-00026105,3110 HEALTHPLEX PKWY,Sick Person,EMSSTAT
213,12/31/2023 17:19,2023-00019441,318 E HAYES ST,Assault EMS Needed,14005
214,12/31/2023 17:19,2023-00026106,318 E HAYES ST,Assault EMS Needed,EMSSTAT
215,12/31/2023 17:19,2023-00088006,318 E HAYES ST,Disturbance/Domestic,OK0140200
216,12/31/2023 17:19,2023-00088005,2677 TEE DR,Traffic Stop,OK0140200
217,12/31/2023 17:21,2023-00088007,101 ED NOBLE PKWY,Disturbance/Domestic,OK0140200
218,12/31/2023 17:23,2023-00019442,1717 DAISY LN,Abdominal Pains/Problems,14005
219,12/31/2023 17:23,2023-00026107,1717 DAISY LN,Abdominal Pains/Problems,EMSSTAT
220,12/31/2023 17:36,2023-00088009,4101 SAM GORDON DR,Alarm,OK0140200
221,12/31/2023 17:41,2023-00088008,201B W GRAY ST,Contact a Subject,OK0140200
222,12/31/2023 17:44,2023-00088042,1332 SUPERIOR AVE,Animal Complaint,OK0140200
223,12/31/2023 17:46,2023-00019443,1716 CHAMBLEE DR,Medical Call Pd Requested,14005
224,12/31/2023 17:46,2023-00026108,1716 CHAMBLEE DR,Medical Call Pd Requested,EMSSTAT
225,12/31/2023 17:46,2023-00088010,400 THORTON DR,Welfare Check,OK0140200
226,12/31/2023 17:47,2023-00026109,1269 NORTH ADKINS HILL RD,Sick Person,EMSSTAT
227,12/31/2023 17:49,2023-00088011,909 24TH AVE SW,Stolen Vehicle,OK0140200
228,12/31/2023 17:54,2023-00026110,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
229,12/31/2023 17:57,2023-00026111,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
230,12/31/2023 18:05,2023-00088013,11115 BALLARD DR,Civil Standby,OK0140200
231,12/31/2023 18:07,2023-00026115,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
232,12/31/2023 18:07,2023-00019444,909 BRANDYWINE LN,Medical Call Pd Requested,14005
233,12/31/2023 18:07,2023-00026112,909 BRANDYWINE LN,Medical Call Pd Requested,EMSSTAT
234,12/31/2023 18:09,2023-00026113,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
235,12/31/2023 18:10,2023-00088014,2800 CHAUTAUQUA AVE,Fraud,OK0140200
236,12/31/2023 18:20,2023-00088012,118 S STEWART AVE,Open Door/Premises Check,OK0140200
237,12/31/2023 18:25,2023-00088020,3306 RIDGECREST CT,Missing Person,OK0140200
238,12/31/2023 18:26,2023-00088015,513 24TH AVE NW,Noise Complaint,OK0140200
239,12/31/2023 18:29,2023-00088016,CHAPARRAL RD / E LINDSEY ST,Reckless Driving,OK0140200
240,12/31/2023 18:30,2023-00019445,1610 N PETERS AVE,Public Assist,14005
241,12/31/2023 18:32,2023-00088017,215 E MAIN ST,Welfare Check,OK0140200
242,12/31/2023 18:40,2023-00088018,3601 N FLOOD AVE,Civil Standby,OK0140200
243,12/31/2023 18:48,2023-00088019,661 W IMHOFF RD,Traffic Stop,OK0140200
244,12/31/2023 18:51,2023-00088031,W ROCK CREEK RD / 12TH AVE NW,Debris in Roadway,OK0140200
245,12/31/2023 18:52,2023-00026114,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
246,12/31/2023 18:54,2023-00088021,2206 W ROBINSON ST,Traffic Stop,OK0140200
247,12/31/2023 19:05,2023-00019446,N FLOOD AVE / W ROCK CREEK RD,MVA With Injuries,14005
248,12/31/2023 19:05,2023-00026116,N FLOOD AVE / W ROCK CREEK RD,MVA With Injuries,EMSSTAT
249,12/31/2023 19:05,2023-00088022,N FLOOD AVE / W ROCK CREEK RD,MVA With Injuries,OK0140200
250,12/31/2023 19:07,2023-00088032,1305 KEYSTONE LN,Animal Vicious,OK0140200
251,12/31/2023 19:11,2023-00088028,201 W GRAY ST,Harassment / Threats Report,OK0140200
252,12/31/2023 19:13,2023-00088023,1013 36TH AVE NW,Traffic Stop,OK0140200
253,12/31/2023 19:20,2023-00088027,201 WOODCREST DR,Shots Heard,OK0140200
254,12/31/2023 19:21,2023-00088024,6475 36TH AVE NW,Welfare Check,OK0140200
255,12/31/2023 19:24,2023-00088064,710 TERRY DR,Harassment / Threats Report,OK0140200
256,12/31/2023 19:25,2023-00088025,830 MCGEE DR,Traffic Stop,OK0140200
257,12/31/2023 19:26,2023-00088026,600 S WEBSTER AVE,Disturbance/Domestic,OK0140200
258,12/31/2023 19:28,2023-00019447,6475 36TH AVE NW,Public Assist,14005
259,12/31/2023 19:30,2023-00088029,3110 W FRANKLIN RD,Suspicious,OK0140200
260,12/31/2023 19:33,2023-00026118,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
261,12/31/2023 19:34,2023-00088030,1728 CLASSEN BLVD,Welfare Check,OK0140200
262,12/31/2023 19:41,2023-00019448,1776 E ROBINSON ST,Stroke,14005
263,12/31/2023 19:41,2023-00026117,1776 E ROBINSON ST,Stroke,EMSSTAT
264,12/31/2023 19:50,2023-00088033,1328 TARMAN CIR,Shots Heard,OK0140200
265,12/31/2023 20:00,2023-00088034,1522 SILVER CREEK CIR,Shots Heard,OK0140200
266,12/31/2023 20:13,2023-00088037,2102 W LINDSEY ST,Alarm,OK0140200
267,12/31/2023 20:13,2023-00026119,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
268,12/31/2023 20:14,2023-00088035,555 W MAIN ST,Disturbance/Domestic,OK0140200
269,12/31/2023 20:16,2023-00088036,3301 W MAIN ST,Burglary,OK0140200
270,12/31/2023 20:24,2023-00088038,904 E LINDSEY ST,Traffic Stop,OK0140200
271,12/31/2023 20:26,2023-00088041,305 E ACRES ST,Welfare Check,OK0140200
272,12/31/2023 20:28,2023-00088039,3123 HARWICH CT,Suspicious,OK0140200
273,12/31/2023 20:31,2023-00088043,2505 DURHAM PLACE CT,Supplement Report,OK0140200
274,12/31/2023 20:32,2023-00088040,3400 W MAIN ST,Foot Patrol,OK0140200
275,12/31/2023 20:35,2023-00088045,4400 W MAIN ST,Welfare Check,OK0140200
276,12/31/2023 20:46,2023-00088047,1329 COLUMBIA CIR,Shots Heard,OK0140200
277,12/31/2023 20:48,2023-00088054,318 E HAYES ST,Harassment / Threats Report,OK0140200
278,12/31/2023 20:50,2023-00026121,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
279,12/31/2023 20:53,2023-00088044,E EUFAULA ST / S JONES AVE,Traffic Stop,OK0140200
280,12/31/2023 20:58,2023-00088046,738 W LINDSEY ST,Motorist Assist,OK0140200
281,12/31/2023 20:59,2023-00019449,4501 W MAIN ST,Falls,14005
282,12/31/2023 20:59,2023-00026120,4501 W MAIN ST,Falls,EMSSTAT
283,12/31/2023 21:05,2023-00088048,72ND AVE SE / E STATE HWY 9 HWY,Drunk Driver,OK0140200
284,12/31/2023 21:20,2023-00088049,552 ED NOBLE PKWY,Alarm,OK0140200
285,12/31/2023 21:28,2023-00088068,2800 CHAUTAUQUA AVE,Fraud,OK0140200
286,12/31/2023 21:29,2023-00088050,1872 E ROBINSON ST,Traffic Stop,OK0140200
287,12/31/2023 21:35,2023-00088051,S SANTA FE AVE / W COMANCHE ST,Traffic Stop,OK0140200
288,12/31/2023 21:39,2023-00088053,120TH AVE SE / STATE HWY 9 HWY,Burglary,OK0140200
289,12/31/2023 21:40,2023-00088052,1800 W BOYD ST,Traffic Stop,OK0140200
290,12/31/2023 21:44,2023-00088055,335 E DUFFY ST,Traffic Stop,OK0140200
291,12/31/2023 21:47,2023-00019450,425 MARGARET DR,Fire Gas Leak,14005
292,12/31/2023 21:50,2023-00088056,JENKINS AVE / E BROOKS ST,Traffic Stop,OK0140200
293,12/31/2023 21:54,2023-00088057,1934 W BOYD ST,Traffic Stop,OK0140200
